খুলেনা	Don't open
রাক্ষসের	Monsters
কোচ	Coach
ঢিলেঢালা	Loose
মাইকেল	Michael
ইস্যু	Issues
ভাবতেছিলা	I was thinking
অনলি	Only
দড়তে	To stand
ক্রস	Cross
কাস্টার্ড	Custard
কম্পানির	The company's
নগর	City
ডিসিপ্লিন	Discipline
আলামীন	Alamein
যাবো	I'll go
সহায়তায়	Support
ইরানীয়দের	The Iranians
দরার	Darr
হয়রান	Harassment
নুডুলসটা	The noodles
খোদা	God.
ঝালেই	In the blurb
সাড়া	Respond
পুরের	Pur
হিন্দীতে	In Hindi
মাইক্রো	Micro
হর্ন	Horn
দিধা	Didha
কলকাতা	Kolkata
প্রতিপক্ষের	Opponents
পহশন	Pohshan
তেহারীটা	Tehrita
রটে	Rot
দে	De
পড়লো	Read
আর্থিক	Financial
ওটা	That's it
নইলেতো	Otherwise.
দুর্গাপুজোর	Durga Puja
উনাকে	To him
রাতাটা	Ratata
বিয়ার	Beer
হুকুমে	In order
হলোনা	It didn't.
সাজাও	Sentence
ধরবেন	Catch up
বইলেন	Flowing
বিভক্ত	Split
বিসয়	Bisoy
লাগার	Lager
দাদাবাড়ি	Grandpa's house
লেবুচুর	Lemonchur
এলাহাবাদী	Allahabadi
ভিতরণ	Inside
মাঠিতে	In the field
মেনশন	Mansion
ছাত্রলিগ	Student League
সোসাইটির	Society
যদিকউ	If
মুস‌লিম	Moose Lim
লুব	Lube
খাদকগন	Khadaks
সালা	Sala
খরচটা	The cost
পানসী	Pansy
সেমাই	Semai
পায়তারা	They're
২৬	- 26
চ্যানেলটা	The channel
দিতেইতো	To give
জানতা	You know.
মাইনাস	Minus
মাসুদ	Masud
হোতা	The host
জায়গাটা	The place
রেষ্টুরেন্ট	Restaurant
যৌবনের	Of youth
আবসোস	Absos
হরমোনের	Hormones
ইতালির	Italy
কোল	Cole
অভ্যাসটা	The habit
জটিল	It's complicated
মেইক	Make it
অন্যায়	Injustice
যনগনের	The yongans
ভূলে	Forgotten
সম্রাট	Emperor
পিন	Pin
শালিরে	Shalire
পারছে	It can
গুলো	The
সাবাশ	Good job
ভাড়াতে	On rent
মতো	As
মন্তব্যকারী	Commenter
কাফেরের	The infidel
যেমন	Such as
মেকাপ	Makeup
সুবিধা	Privilege
করাই	To do
আযাদেরা	Azader
প্রীতি	Love
বস্তুটা	The object
সঠিত	Organized
স্বপ্নকে	The dream
পাবলিক	Public
আকুল	Desperate
বিষয়টি	The issue
চ্যানেলকে	To the channel.
সামর্থ্য	Ability
বদলান	Change
ঢাকা	Dhaka
জুড়িয়ে	Adding
শিখতেই	To learn
মন্ত্রণালয়	Ministry
মুরুখ	Muruk
অসময়	Untimely
ট্যুর	Tour
আহকাফ	Ahkaf
হত্যাকান্ডে	In murder
ক্লাবগুলোতে	In clubs
প্যারিস	Paris
মিলে	Together
তামাশা	Joke
সৌরগাঙ্গুলি	Solar gangs
তাড়াহুড়ো	Rush
উন্নতির	Improvements
অনেকেরই	Many
দেখাইছে	Shown
গাইবান্ধায়	In Gaibandha
প্রতিষ্ঠানগুলোর	Institutions
রকমারী	Variety
কুমার	Kumar
গ্রিলের	Grill
বিভিন্না	Variety
সেক্টর	Sector
ছাত্রীদের	Students
পরাশোনা	Parasitism
খুজেঁ	Looking for
শুধুই	Just
খাদ্য	Food
দোকানকে	To the shop.
ভালোর	Good
জা	Sister in Law
কিজে	Keyje
হুমিকি	Humiki
এতোই	That's all.
মানূষ	Man
অনেকবেশি	Too much
জা‌নোয়ার‌চোদা	Ja Noir
পেঠে	Back
ডালডা	Dalda
দেশকে	The country
অভিজ্ঞ	Experienced
মন্ত্রণালয়	Ministry
লেগেছ	It took
ডোয়ের	Dwyer
পর্দাপ্রথা	The veil
মাছের	Fish
খুনীদের	The killers
হত্যা	Killing
ইন্টেক	Intech
কৌশলটা	The strategy
ট্র্রান্জিট	Transit
কষাই	Cut
বৌ	Wife
চন্দ্র	Chandra
ধর্ষকের	The rapist
স্মৃতিবিজড়িত	Memories
বোনরেও	Sister-in-law
তুলবো	I'll pick it up
25শের	- 25Shear
প্রাপ্তি	Receipt
গভারমেন্ট	Government
জেনেভা	Geneva
কাটুন	Cut
খেয়েছিয	I ate
ছেন	
মেয়েটাকেউ	The girl
তেলতেলে	In oil
শক্তিশালী	Potentially
বিশেষ	Special
বাঁশ	Bamboo
প্লেয়ারদের	Players
পরলেতো	Wearing
রাস্তায়	On the road
গাজাখুরি	Gazakhuri
দেশটি	This
সামী	Sami
প্রয়োগটা	The application
জন্মের	Birth
গিদর	Gidor
রেস্টুরেন্ট	Restaurants
লাইভ	Live
বাংলাদেশ	Bangladesh
ছাইরা	Ashera
চুই	Chui
উপেক্ষা	Ignore
কাহারো	Kaharo
ওদিক	There
মফিজ	Mofiz
সাটল	Sattl
বেমানান	Inconsistent
ইচ্ছাকৃত	Deliberate
নারীদের	Women
খুনিদের	The killers
খুনের	Murder
মাখনের	Butter
গাঙ্গুলির	Ganguly's
বুয়েটয়ের	BUET
নির্দোষকে	To the innocent
কলনীতে	In the colony
রিভিউএর	Of the review
এতকিছু	That's all.
ডুকে	Duke
হালারপুতেরা	Hallerputera
ভাগারের	Bhager
বসবাস	Living
পিঠার	The pie
দেবে	Will
পান্তা	Panta
জায়া	Jaya
নাইই	No.
রেডি	Ready
গুনটা	The quality
ক্যামেরাতে	Camera
মুত্র	Urine
রোসিক	Rosic
বাইন	Bain
কাফেরচোদা	Infidels
লেবুতে	In lemons
ছাড়ে	Leave
সৃষ্টির	Creation
খাইতাসি	Khaitasi
যাক	Let's go
ভিডিওটাতে	In the video
খানকী	Khankey
চুরি	Theft
সাইফুল্লা	Saifullah
আরবী	Arabic
পুটকি	Putki
খাওয়ানো	Feeding
কুশিক্ষিত	Illiterate
আন্দলোন	Andover
আদৌ	At all
হাতেই	In hand
ফেললি	Throw it away
লুকটাই	The look
নরসিংদীতে	In Narsingdi
খুলনা	Khulna
বাংলাদেশিতে	In Bangladeshis
ইউরোপে	In Europe
ভারতির	Bharti
বিরক্তি	Annoyance
মিলিয়েই	Combined
পুতারনা	Putarna
মন	Mind
দৌড়া	Running
ঘোরা	Hang out
অমুসলিম	Non-Muslims
জানাবা	Let me know
হাজবেন্ড	Husband
উছিত	Uchyt
বিশ্রি	Bishri
নষ্টের	Spoils
বুঝিই	I get it.
কিছুই	Nothing
গিলতে	To swallow
পেলেট	Pellet
মাঠা	Matha
অখাউকা	Akhauka
আশায়	In hope
লজ্জাবতী	Shy
গাজার	Gaza
ব্যাবস্থা	Arrangements
ভাগাড়ে	In the fall
ভাষায়	Language
যৌনাঙ্গ	Genitals
সেবার	Service
সম্মুখে	In front of
চোদনে	
রিপোর্ট	Report
বেচাকেনা	Selling
পথ	Path
ক্ষুদ্র	Small
পুলিশের	Police
ছাগলের	Goats
বুয়ার	Buer
রাখে…অামিন	Keep... Amin
খামাখা	It's a mess
হয়ছ	Maybe
রোহিঙ্গা	Rohingya
দে‌শের	De Sher
ইমেইল	Email
গানজা	Ganza
তাকাচ্ছেন	Looking
জিন্দেগীতে	In life
এম্নেই	That's it.
জন্যও	For too.
মনত্রী	Montrey
বঙ্গবন্ধুকে	To Bangabandhu
আমাশা	Amasa
আমারদেশের	My country
খুজতেছ	Looking for
হাইস্যকর	Hisakkar
কিলোক্লাস	Kiloclass
লালা	Saliva
আকবার	Akbar
এহন	Eh
ত্রকটা	The trot
তাইতো	That's it.
হিজড়াদের	Hijras
বড়ায়	In the barn
ঘাড়ের	Neck
দায়ভার	Responsibility
কইয়া	Where
শিখেন	Learn
ফেরার	Return
ইউরোপ	Europe
ভাইয়া	Brother
খায়কে	Khayke
বিখ‍্যাত	Detailed
বেপারটা	The poor
লালার	Saliva
মজিবর	Mojibor
কইরেনা	Kairena
অদ্বিতীয়	Unique
চোরেরা	Thieves
জুনিয়র	Jr
বঞ্চিত	Deprived
উঠেন	Get up
মাঝের	In the middle
বন্দো	Bondo
প্লেসে	In place
মেয়ের	The girl
করছেনা	It doesn't
আন’আম	An'am
দুনীর্তিগ্রস্ত	The world is in disarray
নম্বারি	Numbers
সাধিনতা	Simplicity
সাতার	Swimming
বসাইলে	In sit-in
একাধিকবার	More than once
চাটুকার	Sycophancy
করত	It did
ট্রুরের	Truer's
নব্বই	Ninety
শূকর	Pigs
শোনেনি	Didn't hear
অস্বস্তিকর	Uncomfortable
ভিশা	Visha
জরিপ	Survey
ননস্টপ	Nonstop
জন্মানোর	To be born
উৎস	Source
বেন	Ben
পথশিশু	Street children
বেপারে	On the other side
মধ্যেই	In
ওগুলোর	Of those
ঐটাতে	In that
শোভা	Decorations
ধনে	Coriander
আপেল	Apples
স্থায়ি	Stable
মানুষটিকে	The man
ক্রিকেটের	Cricket
ফক্কিনি	Faulkini
টিকিতের	Tikit
বড্ড	Too much
বর	Groom
শবনাম	Shabnam
যাত্রাবাড়ীর	Jatrabari
বাহিনী	Forces
উজ্জ্বল	Bright
সেগুলোকে	To them
সহ‌যোগীতা	With co-compatibility
উদাহরণটাই	The example
আলহাদুলিল্লাহ্	Alhadulillah
দেকিন	Deakin
সিওর	Sior
ওইটা	That's
পড়বেন	Read on
বিরানী	Birani
বেইমান	Dishonesty
বিরানি	Birani
প্রতারকদের	Fraudsters
জাতিসংঘের	Of
লাগিয়ে	Put on
ভারতবর্ষজুড়ে	across India
ভালাে	Well done
মতিঝিল	Motijheel
পরবে	Will wear
পাইবে	Get it
জাইগার	Jaeger
মাদ্রাসার	Madrasah
সফ্টওয়ার	Software
জাতা	Jata
পেপার	Paper
বের	Eject
মার্চ	March
তেহারী	Tehri
অপছন্দ	Dislike
দেইখো	Give it a go
জায়গাই২০	Place20
ফ্লাইওভারের	Of the flyover
লোকালয়	Locality
প্রাঞ্জল	Lively
পল্টন	Paltan
ডাক্তার	Doctor
খামাকা	Khamaka
টিন	Tin
কর্মকর্তা	Officers
কলক	Kalk
পাঠারা	Senders
হোগা	Hoga
রঙ্গ	Color
সেলুট	Salute
বেলুন	Balloon
বলবেন	Say
জ‌ন্মে	J.
নন্দ	Nanda
নিন01307422166	Nin01307422166
এতো	So much
হাতেও	Even in hand.
রক্তে	In blood
চোরি	Thieves
ডাকছেন	Calling
কৱু	Kaww
বেকার	Unemployed
বাড়িয়ে	Increased
মাসাআললাহ	Mas'alalah
তালাশ	Talaash
ভাইয়ের	Brother
মনগড়ায়	Fabricated
খাক	Khak
করেদিবেন	Do it
গিয়া	Goya
অনেকটাই	A lot.
হাজ্বি	Hajji
মোবাইলে	On mobile
পাঞ্জাবিতে	In Punjabi
প্যান্থার	Panther
এতটুকু	That's all.
বিলাসবহুল	Luxury
সুশাসন	Good governance
ক্যডার	Cadre
রতন”	"Ratan."
ঠোকে	Stumbled upon
গাবতলি	Gabtali
চিত্তদা	Chittada
সেইম	Same
শোনাবে	Will listen
আগামীতে	In the future
কিন্তুক	But
মোডা	Moda
ভণ্ডামি	Hypocrisy
তালুই	Talley
1টি	- 1
কাইলেন	Kaylen
ভুল	Incorrect
