असलामवेल्कम	AslamWelcome
तत्व	element
सुरु	Start
अर्ज़	request
दिवाते	The diva
राख	ash
खुलासा	revealing
बक्त	Bakt
गाव	cow
घोटले	Scams
झुकवा	Bend
कहा	said
हुनेर	Huner
भाया	Brother
कीसी	Someone.
फर्म	firm
हान्न	Han
हप्पेन	Happen
प्रॉफिट	Profit
भोसरदी	Bhosardi
ब्रोसा	Brossa
डेरी	dairy
विनय	request
कप	Cup
पाशा	title of Turkish noble
वाओ	Wow
हंगे	Hange
पाये	Find
तेर	Yours
हाहाहाहाहाहा	Hahahahahaha
गाईई	Guy
वाट	watt
मूट	Moot
डम्बेस्ट	Dumbest
मिथुउउउ	Mithuou
बकरा	billy-goat
आजाताह	It comes
चायिये	I want
लादेनगे	Bin Laden
भाजरंगी	Saffron
जाएगे	Will go
आईयिई	Iyii
ओम	ohm
हुमरे	Humre
धरमसंकत्मेन	Dharamsankatmen
हाउन	Haun
पालडा	Palda
फरसाट	Farsat
मलम	Ointment
अड्ड्ड	Adda
साए	Shadow
आशिकी	Aashiqui
आमा	We are
शर्माजिरोक्स	Sharmajirox
लिवो	Livo
प्यार	love
अयेगाए	Will come?
दिख्ती	Look at it
पाएगा	Will find
नेपाल	Nepal
बरे	All right
धुंद	Mist
खासी	Sizeable
कबर	Grave
आदथ	Habit
धर्मशाला	hospice
मिल्ला	Milla
प्रधानमंत्रिजी	Prime Minister
शबाश	Well done
ज़रूर	Sure thing
उदाओ	E.g.
तभी	at that very moment
फेका	Throw it away
पूछा	Asked
आजकाल	Nowadays
अडव	Stop
खरे	True
बीट	droppings of bird
खान	mine
खोया	thickened milk product
डरने	Fear
जंप	jump
मिला	connects
जरा	old age
लकी	Lucky
आयशा	Aisha
लड़ने	Fight
सान	grindstone
गंदी	Dirty
बनती	Created
मेलोडी	Melody
गोत्ता	Gotta
कुशी	Kushi
सोकर	Soker
कलयुग	The fourth and last or present age
देवाना	God
गरीबगुय	Poor guy
घर	house
थाई	Thai
बाह	Bah
सलीम	Salim
लाकिन	But
मुझा	Me
मंगेगी	Will ask
गाए	Sing
कोमालिंसान	Komalinsan
अप्नो	Apno
अस्लामोलिकुम	Aslamolikum
कर्णा	Karna
ब्रणगी	Brangi
माह	the moon
सुजाव	Suggest
ख्वैश	Wish
की	possessive case-ending
ल्गायेगा	Will be installed
हिस्से	Part
मारो	hit
कार्नेवाले	Carneywale
नसरीगंज	Nashriganj
सुने	Heard
भेद	secret
धनय	Thank you
खीच	Pull
गिवे	Give it
तार	wire
चाय	tea
कैसे	How come
मुजेय	Me
जारी	continued
बजने	Ringing
नई	new
पौहचे	The pau
टूथटा	Broken
अम्मा	mother
दुसरा	The second
ताज	crown
पेडल	pedal
दुखया	Painful
चाते	Chaate
किसा	Who
सीन	scene
टिवेट	Twet
बाये	Left
पोस्टर	poster
हमलोगो	We
बज	Ringing
फालटू	Useless
दारे	Doors
पेन	Pen
किन	plural form of
हरणे	Losing
घटिया	inferior
इनहोन	Inhon
सच्चा	true
प्डेट	Update
दाखो	Look at
फड	Phad
मशल्लाह	Mashallah
डांढा	Dandha
वाजोद	Wajid
घुसु	Ghosu
सोचा	Thought
समर्थन	support
उदबिलाओ	Udbillao
खूबसूर्ती	Beautiful
मामले	Case
वतन	native country
विदेशों	Overseas
पहने	Wearing
किनरो	Kinro
इयमकृष्णम	Iyamkrishnam
जुडे	Join
परिणाम	result
करिये	Do it
सैटन	Satin
उत्ता	Utta
नागराज	king cobra
सल	sal
पाओला	Paola
दूसरे	secondly
फैला	spread
सकते	Can
खेलने	Play
पाहन	stone
रिप	Rip
भैजन	Brother
झूट	Lies
डेल	Dell
जुलाम	Oppression
दर्शन	seeing
समर्थ	capable
लप्पी	Lappi
चुराकर	Stealing
दयालु	kind-hearted
लक	luck
बटनाही	Not even a button
बुक्स	Books
झादी	Bush
खुशियान	Happiness
पहना	case
आनुमाति	Permission
जबर्जस्ती	Extortion
सहेरी	Saheri
गालो	Sing
सभी	all
मर	grudging
दियु	Diu
बदलेगी	Change
वेसभूष	Costumes
पामेला	Pamela
लड्डो	Laddoo
देन	act of giving
कामा	Cama
करु	Do it
व्यस्त	busy
जिस्मे	In which
पाणिगले	Water
पहचान	recognition
ढीला	loose
झंदा	Flag
ज़िंदगी	life
मानने	Acknowledge
उत्निही	That's it
चानव	Chanav
उठाओ	Pick
मास्टर	master
उठने	Get up
शर	arrow
विश्वरूपम	Vishwaroopam
कहिये	Say it
पैसों	Money
ग्येवी	Gyavi
माफी	excuse
गय्यय्यय	Gayayya
मैडम	Madam
लुविंग	Luving
बरताव	usage
शोमे	Show
रेहता	Rehta
जिम	gym
ऐसे	so
खाकर	By eating
कामी	lustful
रप्ली	Rapli
अजंगा	Ajaga
चुपके	silently
रुकेगी	Will stop
वेंट	Vent
जिईई	G.E.
आग्ये	Fire
सिग्नप	Signal
फ्रद	Fred
अव्व्वि	Avvi
जीती	Won
पुर	town
भेजती	Sends
गुरु	preceptor
ख्रीदी	Buyer
बेथे	Bethe
बिगाड़	defect
पनौती	Panauti
रोमल	Romal
म्हान	Mhan
धाम	abode
तम्हारी	Yours
उंक	
सेकटे	Secte
जेने	Jayne
कराने	To do
तनासाही	Tense
ओले	hailstone
माँग	demand
धोखा	fraud
छिये	Want it
शाउटिंग	Shouting
डिसकशन	Discussion
चाहते	Want
चलेया	Let's go
कदमो	Step by step
अनुमति	permission
बैठे	Sitting
लेकर	Ranging
खोना	to lose
नह	Not
सालमन	Salmon
कम्बख्त	Kambakkht
लूट	plunder
बतायें	Tell me
खादेर	Khader
पसीना	perspiration
उधार	loan
बा	Ba
श्रीधर	An epithet of Lord Vishnu
धोखे	Deception
छोड़	abandon
पोचोन्दो	Pochondo
अबकी	Now
द्र्कुमार्विश्वास	Faith in the world
इटब	Itb
लौंगा	Longa
दुर	meaning bad
बड़े	Large
खाती	carpenter
भैय्याजीस्पेक्स	Bhaiyajispecs
पडोस	environment
बुरा	bad
गोरिब	Gorib
चक्कर	wheel
ख्बी	Khbi
ध्कान	Dhkan
निर्णय	decision
दिलता	Give
अच्चे	Good
राधे	Radhe
फुचे	Fuche
मजाक	sneer
डिंग	Ding
मज़ाहबी	Religious
ईशा	Isha
कसना	to tie
डिब्बी	Box
दिलयांगे	Will give
लाइट्स	Lights
हुमेशा	Always
बटक	Butt
चुका	settle
दिला	Given
रेहमतकर्णा	Rehmatkarna
पासा	dice
कहानी	story
ऊर्र	Urr
अंखू	Ankhu
जयोगे	Yoge
भगेगा	Will run away
हार	defeat
खुनी	Murderer
पिस	Peace
आररी	Arri
बेक	Beck
सक्सक्स	Saxx
चोरी	theft
गाल्ट	Galt
जानेमन	sweetheart
तकात	In the form
कुफर	Kufr
दारू	medicine
ई	The fourth vowel of the Devanagari syllabary
मंग	Mang
गफ	thick
भाव	price
सुंदरी	nymph
रमेश	Ramesh
ताल्वे	Talvey
बेचते	Sell
ज़्ज़	zz
खर्ब	hundred billion
तुसी	Tusi
हक	stunned
फील	Feel
उठाना	to lift
गया	went
एप्पुडु	Appudu
जगेगी	Will wake up
लेग	Leg
लेनेका	Take it
कानों	Ears
आरती	ceremonial adoration of God
सहेनगे	Save
चालू	cunning
नमस्ते	Hello
दोस्त	Friend
परमार	Parmar
पिरोटे	Pirote
काना	blind of one eye
मैसट	Masat
बाडिया	Badia
लैब	lab
क्रन्गे	Krenge
गोव	Gov
छीनकर	By snatching
हमने	we
सौदागर	merchant
सुना	Heard
लोडो	Lodo
मनपासंद	Favorite
भाऊकाना	Brother
होवी	Howie
जाउन	Go
मृते	Dead
इस्की	Iski
अस्स्लमु	Assalmu
प्रकोप	violent anger
उड़ने	Flying
हाहाहाहाहहाहा	Hahahahaha
उने	He
मेंशन	Mention
बेवकूफ	You fool
कोहली	Kohli
देखा	seen
दाम	price
त्महारे	Your
गुज़र	livelihood
सम	even
राके	Rake
हाहाहाहाहहहाह	Hahahah
बेहेनो	Beheno
बता	show
दिवानी	Diwani
निब्ट	Nibt
पेहचान	First of all
कपर	Copar
असक	Asak
जौंगा	Wonga
शेख	sheik
खबर	news
खाया	Eaten
नेजिया	Nejia
बिघरत	Poor
गाटे	Sing
गीली	Wet
बुद्धे	The Buddha
बनवा	cause
माफ	forgive
अप	bad
लाउंडा	Launda
सटफ	Sutf
निकालिये	Get out
हिन्दी	Hindi
टूफनी	Stormy
यादे	Memories
लाइफ	Life
निभा	conducts
बनारा	Benara
हाठी	Elephant
समर	war
तोडियेगा	Will break
पाकडे	Paka
शिवितुकरल	Shivitukaral
नोटंकी	Note:
मुंबईकर	Mumbaikars
बेताब	powerle
कुसोर	Kusor
मगर	crocodile
थक	Tired
आखिर	tip
पाव	fourth part
साड़ियों	Sarees
फ्राह	Farah
खेती	husbandry
इक	prestressed form of
था	was
ब्रेथिग	Brathig
द्रंक्विनोदमेहता	Dr. Quinodmehta
कैच	Catches
वादे	Promises
श्मझते	Shmita
वार	Any day of the week as
आयोग	commission
बरदाश	Toleration
खातम	End
गैस	gas
फ्ट	ft
बोट	boat
गुए	Gue
सरदी	winter
आईईईईईई	IEEE
फकर	Fakar
भैय्या	Brother
इपल	Ipal
तुजसे	From you
हिस	His
डरर	Darr
जानमा	Jaanma
उरिया	Uria
एवेसोम	Avesom
विनर	Winner
घोसित	Ghosit
सामर्थ्यवान	Powerful
उष	Ush
चढ़ता	ascending
अरेय्य	Hey,
हट्स	Huts
मोहल	Mohal
पार्ट	part
पवित्र	pure
गेस	Gass
झिंड	Jhind
बहिजान	Bahijan
आव	Aav
अप्पा	Appa
कोंट्रा	Contra
रिश्वत	bribe
ताक	look
अभिई	Abhi
गत	gone
बॉडीगार्ड	Bodyguard
राघव	An outstanding scion or descendant of king Raghu’s dynasty
सुकर	easy to do
पायरे	Feet
ममताजी	Mamataji
पटियाला	Patiala
एही	That's it
मुज	Me
आपलॉग	You log
लालन	caressing
उसके	her
चांगे	Change
जिई	G.I.
मिंग	Ming
भालये	Well done
इंके	Inc.
प्रति	for each
इश्का	Ishka
रहेगा	Will
चोल	Chola
हल्का	light
बंदेगी	Bangi
शमे	Shamme
इन्ही	These
जंवर	Janwar
नेताजी	netaji
दियान	Dian
सोवार	Sowar
जामा	robe
स्म्भलगे	Understand
लीफ	Leaf
मोटे	Coarse
